prop_id,lon,lat,register_matches,register_id,register_name,listed_status,nearest_alternative_m,alternatives_within400m
X197,-73.88286,40.87262,1,102,Mosholu Playground,Operational,425.183143044133,0
M086,-73.9841555555556,40.7330555555556,0,,,,,
Q516,-73.91354,40.7486,0,,,,,
X009,-73.8906,40.82068,1,644,Monsignor Raul Del Valle Square,Not Operational,290.758126410637,2
B376,-73.92092,40.64472,1,1049,Fidler-Wyckoff House Park,Operational,247.020556840673,1
Q510,-73.9254555555556,40.7309222222222,1,1039,Maspeth Park,Operational,1148.45594200518,0
B167,-73.95982,40.71056,1,202,La Guardia Playground,Operational,161.442170911883,2
Q322,-73.75804,40.7217,1,545,Bellaire Playground,Operational,950.584038144538,0
X118-02,-73.87038,40.81798,1,60,Soundview Park,Operational,637.103860643057,0
X168,-73.92656,40.83502,1,85,Nelson Playground,Operational,414.172536283116,0
